village_name,village_code,category,name,address,distance_text,type_text,tel,rating,price_text,data_review_status,is_recommended,review_notes,source,poi_id
安沟村,dengfeng_angou,food,凤凰饭庄,徐庄镇安沟村退役军人服务站东侧130米,64m,餐饮服务;中餐厅;中餐厅,,3.4,人均约 ¥39.00,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0KUDXQKQU
安沟村,dengfeng_angou,food,大雄山食府,052乡道与马汝线交叉口西北60米,1110m,餐饮服务;中餐厅;中餐厅,,4.1,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFHW7W6S
安沟村,dengfeng_angou,food,禾木居餐饮,禾木居民宿东侧80米,2188m,餐饮服务;中餐厅;中餐厅,,3.5,人均约 ¥30.00,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0LAKSF4S6
安沟村,dengfeng_angou,food,天成磨坊,徐庄镇孙桥村11组,2247m,餐饮服务;中餐厅;中餐厅,19939912356;19939930386;19939960136,2.4,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0L2JA5JOK
安沟村,dengfeng_angou,food,登封市天福康食品厂,徐庄镇孙桥村,2291m,餐饮服务;餐饮相关场所;餐饮相关,0371-62926168,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFMDQDZA
安沟村,dengfeng_angou,food,百福居农家乐,马汝线附近,3637m,餐饮服务;中餐厅;综合酒楼,13938558206,3.2,人均约 ¥52.00,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFJQTRXH
安沟村,dengfeng_angou,food,老友记烧烤大排档,登徐线,4149m,餐饮服务;中餐厅;特色/地方风味餐厅,,3.6,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0MGOCVX0J
安沟村,dengfeng_angou,food,圪垯,利达加油站东北侧230米,4230m,餐饮服务;餐饮相关场所;餐饮相关,,1.8,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0L3M1P73J
安沟村,dengfeng_angou,food,赵记卤肉,星光KTV东北侧,4432m,餐饮服务;中餐厅;中餐厅,,2.0,人均约 ¥18.00,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0MB4C01U7
安沟村,dengfeng_angou,food,伟峰家宴庄园,徐庄镇,4831m,餐饮服务;中餐厅;综合酒楼,13592576721,3.6,人均约 ¥69.00,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFK4NIOH
安沟村,dengfeng_angou,stay,源溪农家酒店(仙人谷西门店),052乡道东50米,1822m,住宿服务;住宿服务相关;住宿服务相关,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFKHT0D2
安沟村,dengfeng_angou,stay,登封源溪农家,徐庄乡杨林村下地门123号,1823m,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,13938567585,3.9,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFKHRFGM
安沟村,dengfeng_angou,stay,禾木居民宿,052乡道,2218m,住宿服务;旅馆招待所;旅馆招待所,"+861056320612,45530755",[],人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0KDB7UP77
安沟村,dengfeng_angou,stay,登封大熊山假日酒店,徐庄镇杨林村,2536m,住宿服务;宾馆酒店;宾馆酒店,0371-56588888,4.1,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFJE9X5V
安沟村,dengfeng_angou,stay,大熊山景秀·山间露营地,徐庄镇大熊山摘星楼景区中州景秀度假村旁,2597m,住宿服务;住宿服务相关;住宿服务相关,13683832766,3.7,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0G1PUMRFR
安沟村,dengfeng_angou,stay,登封中州悦隐槐夏院子民宿,徐庄镇王保庄村46号,3029m,住宿服务;住宿服务相关;住宿服务相关,18736004133,4.2,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFKVM07C
安沟村,dengfeng_angou,stay,星途民宿(摘星楼景区店),徐庄镇王保庄63号,3046m,住宿服务;住宿服务相关;住宿服务相关,"15188330055;+861056320612,53565754",4.7,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0K0T5ORSU
安沟村,dengfeng_angou,stay,陌野原舍瑞轩居民宿,徐庄镇杨林村王保庄53号,3088m,住宿服务;旅馆招待所;旅馆招待所,13838279009,4.6,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0IUJYIPR0
安沟村,dengfeng_angou,stay,星悦居,徐庄镇王保庄42号,3093m,住宿服务;旅馆招待所;青年旅舍,0371-62720666;18538033393,4.3,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFMHH7U7
安沟村,dengfeng_angou,stay,民宿,登徐线与迎宾大道交叉口东北120米,6597m,住宿服务;宾馆酒店;宾馆酒店,,[],人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0LUYCV0MV
安沟村,dengfeng_angou,parking,登封大熊山仙人谷景区西门停车场,徐庄镇013乡道大熊山仙人谷景区,1900m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0HD0U08CQ
安沟村,dengfeng_angou,parking,大熊山仙人谷景区西售票处地上停车场,大熊山仙人谷景区西门游客服务中心西侧,1944m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0MDAO5LNE
安沟村,dengfeng_angou,parking,摘星楼风景区停车场,徐庄镇摘星楼风景区(东北角),2321m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFKWLZ34
安沟村,dengfeng_angou,parking,地面停车场,052乡道东南40米,2471m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0IR9SOYC4
安沟村,dengfeng_angou,parking,大熊山仙人谷景区-东停车场,大熊山情人谷东北(013乡道南),2756m,交通设施服务;停车场;停车场相关,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFL27XT0
安沟村,dengfeng_angou,parking,登封大熊山仙人谷景区情人谷停车点,大熊山仙人谷景区情人谷,2762m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0HUMMT322
安沟村,dengfeng_angou,parking,登封大熊山仙人谷景区东门停车场,徐庄镇013乡道登封大熊山仙人谷景区(东北角),2781m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFIPQ169
柏石崖村,dengfeng_baishiya,food,徐庄镇宏食坊餐饮服务店,徐庄镇徐庄村登徐线,202m,餐饮服务;中餐厅;中餐厅,15515609898,3.6,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0JAFZBJA6
柏石崖村,dengfeng_baishiya,food,杞县砂锅,徐庄初中东南门旁,362m,餐饮服务;中餐厅;中餐厅,,3.3,人均约 ¥13.00,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0LA3HELL8
柏石崖村,dengfeng_baishiya,food,军帅砂锅店,徐庄初中东南门旁,418m,餐饮服务;快餐厅;快餐厅,,0.5,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0GUJBNCDT
柏石崖村,dengfeng_baishiya,food,小苌营养早餐,登徐线与050乡道交叉口东北420米,476m,餐饮服务;中餐厅;中餐厅,,0.3,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0L6Y1UFW0
柏石崖村,dengfeng_baishiya,food,食知味小吃,徐庄初中东南门西100米,484m,餐饮服务;中餐厅;中餐厅,,2.2,人均约 ¥16.00,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0LRYKUP0O
柏石崖村,dengfeng_baishiya,food,吉百式蛋糕(徐庄镇),徐庄镇百业街13号,485m,餐饮服务;中餐厅;中式素菜馆,13623826169,4.0,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFK6CD6P
柏石崖村,dengfeng_baishiya,food,登封烧饼(登徐线店),徐庄镇登徐线徐庄初中西,506m,餐饮服务;中餐厅;中餐厅,13503853137;13613710192,3.8,人均约 ¥11.00,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFHRANEM
柏石崖村,dengfeng_baishiya,food,美味屋烧饼,登徐线与050乡道交叉口东北400米,516m,餐饮服务;餐饮相关场所;餐饮相关,,2.8,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0K651JPES
柏石崖村,dengfeng_baishiya,food,伟峰家宴庄园,徐庄镇,1098m,餐饮服务;中餐厅;综合酒楼,13592576721,3.6,人均约 ¥69.00,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFK4NIOH
柏石崖村,dengfeng_baishiya,food,百福居农家乐,马汝线附近,2453m,餐饮服务;中餐厅;综合酒楼,13938558206,3.2,人均约 ¥52.00,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFJQTRXH
柏石崖村,dengfeng_baishiya,stay,仙人谷酒店,高坡村委会东南侧190米,1212m,住宿服务;住宿服务相关;住宿服务相关,,[],人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFK27K7W
柏石崖村,dengfeng_baishiya,stay,源溪农家酒店(仙人谷西门店),052乡道东50米,6262m,住宿服务;住宿服务相关;住宿服务相关,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFKHT0D2
柏石崖村,dengfeng_baishiya,stay,登封源溪农家,徐庄乡杨林村下地门123号,6273m,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,13938567585,3.9,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFKHRFGM
柏石崖村,dengfeng_baishiya,stay,百花宾馆,告成镇,6751m,住宿服务;住宿服务相关;住宿服务相关,0371-62950175;0371-62950411,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B017319ZLP
柏石崖村,dengfeng_baishiya,stay,禾木居民宿,052乡道,7085m,住宿服务;旅馆招待所;旅馆招待所,"+861056320612,45530755",[],人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0KDB7UP77
柏石崖村,dengfeng_baishiya,stay,登封大熊山假日酒店,徐庄镇杨林村,7286m,住宿服务;宾馆酒店;宾馆酒店,0371-56588888,4.1,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0FFJE9X5V
柏石崖村,dengfeng_baishiya,stay,登封大熊山中州景秀度假村,大熊山景秀·山间露营地东侧,7510m,住宿服务;住宿服务相关;住宿服务相关,,3.3,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0L1356CCY
柏石崖村,dengfeng_baishiya,stay,大熊山景秀·山间露营地,徐庄镇大熊山摘星楼景区中州景秀度假村旁,7532m,住宿服务;住宿服务相关;住宿服务相关,13683832766,3.7,人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0G1PUMRFR
柏石崖村,dengfeng_baishiya,stay,鑫宇宾馆,登电集团水泥公司西100米,7695m,住宿服务;宾馆酒店;宾馆酒店,0371-62955366,4.4,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B01730JT6Z
柏石崖村,dengfeng_baishiya,stay,登封中州悦隐槐夏院子民宿,徐庄镇王保庄村46号,7966m,住宿服务;住宿服务相关;住宿服务相关,18736004133,4.2,人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0FFKVM07C
柏石崖村,dengfeng_baishiya,parking,登徐线-路侧停车场,登徐线与050乡道交叉口东480米,393m,交通设施服务;停车场;路边停车场,,[],人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0MU6RWEJW
柏石崖村,dengfeng_baishiya,parking,马汝线-路侧停车场,登徐线与050乡道交叉口东340米,541m,交通设施服务;停车场;路边停车场,,[],人均约 ¥,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0MUSXFWRZ
柏石崖村,dengfeng_baishiya,parking,地面停车场,登徐线与050乡道交叉口东280米,590m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0I2MZB805
柏石崖村,dengfeng_baishiya,parking,道路停车位,登徐线与050乡道交叉口东北240米,672m,交通设施服务;停车场;路边停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0I2YZS4EY
柏石崖村,dengfeng_baishiya,parking,道路停车位,登徐线与050乡道交叉口东北240米,674m,交通设施服务;停车场;路边停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0I2D5RR54
柏石崖村,dengfeng_baishiya,parking,家宴庄园停车场,徐庄镇伟峰家宴庄园,1102m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0G0S12U90
柏石崖村,dengfeng_baishiya,parking,登封嵩基水泥公司(登徐线)-停车场,徐庄镇郑庄村登封嵩基水泥公司(登徐线),1770m,交通设施服务;停车场;公共停车场,,[],人均约 ¥,needs_review,false,高德周边搜索候选结果，需人工核验,amap,B0L3AOYFOZ
北堤村,zhongmu_beidi,activity,国亮采摘园,狠城岗镇北堤村北上大堤右转300米堤南,1252m,体育休闲服务;休闲场所;采摘园,15938750893,3.7,人均约 ¥33.00,needs_review,true,高德周边搜索 activity 候选结果，需人工核验；auto_ranked,amap,B0G1GANOZQ
北堤村,zhongmu_beidi,food,味珍香农家饭庄,狼城岗镇,75m,餐饮服务;中餐厅;中餐厅,13949028530;13949046037,3.8,人均约 ¥31.00,needs_review,true,高德周边搜索候选结果，需人工核验；auto_ranked,amap,B0HDPRMBK3
